Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G7,30 min,506.558,466,413.376,388,1,0,0,DMSO_10%_30min,1
G7,30 min,538.516,514,685.345,632,1,1,1,DMSO_10%_30min,1
G7,30 min,65041.9,65535,24682,23277,1,1,1,DMSO_10%_30min,1
G7,30 min,553.435,506,604.131,564,1,1,1,DMSO_10%_30min,1
G7,30 min,575.249,547,534.404,501,1,1,1,DMSO_10%_30min,1
G7,30 min,608.76,570,518.014,493,1,1,1,DMSO_10%_30min,1
G7,30 min,486.266,474,838.816,645,0,1,0,DMSO_10%_30min,1
G7,30 min,818.464,748,8672.61,6274,1,1,1,DMSO_10%_30min,1
G7,30 min,550.08,537,556.704,520,1,1,1,DMSO_10%_30min,1
G7,30 min,446.07,438,2289.94,1418,0,1,0,DMSO_10%_30min,1
G7,30 min,516.893,481,1198.52,736,1,1,1,DMSO_10%_30min,1
G7,30 min,608.664,578,521.561,477,1,1,1,DMSO_10%_30min,1
G7,30 min,505.641,490,442.411,412,1,0,0,DMSO_10%_30min,1
G7,30 min,545.521,526,569.159,518,1,1,1,DMSO_10%_30min,1
G7,30 min,454.714,428,971.85,675,0,1,0,DMSO_10%_30min,1
G7,30 min,572.563,558,597.135,559,1,1,1,DMSO_10%_30min,1
G7,30 min,546.736,487,9374.75,6619,1,1,1,DMSO_10%_30min,1
G7,30 min,399.054,391,473.478,434,0,0,0,DMSO_10%_30min,1
G7,30 min,491.819,482,970.434,761,0,1,0,DMSO_10%_30min,1
G7,30 min,538.295,532,681.284,596,1,1,1,DMSO_10%_30min,1
G7,30 min,625.534,601,557.106,517,1,1,1,DMSO_10%_30min,1
G7,30 min,604.72,599,496.319,476,1,0,0,DMSO_10%_30min,1
G7,30 min,504.443,448,613.508,551,1,1,1,DMSO_10%_30min,1
G7,30 min,560.672,556,461.837,456,1,0,0,DMSO_10%_30min,1
G7,30 min,589.104,568,630.971,559,1,1,1,DMSO_10%_30min,1
G7,30 min,547.728,522,488.587,458,1,0,0,DMSO_10%_30min,1
G7,30 min,1494.5,1117,1224.96,1034,1,1,1,DMSO_10%_30min,1
G7,30 min,484.435,464,440.258,423,0,0,0,DMSO_10%_30min,1
G6,30 min,450.399,440,384.421,371,0,0,0,DMSO_10%_30min,1
G6,30 min,520.21,500,520.045,479,1,1,1,DMSO_10%_30min,1
G6,30 min,472.435,467,661.358,608,0,1,0,DMSO_10%_30min,1
G6,30 min,495.187,474,1148.91,479,0,1,0,DMSO_10%_30min,1
G6,30 min,432.245,378,405.22,383,0,0,0,DMSO_10%_30min,1
G6,30 min,378.553,375,525.534,454,0,1,0,DMSO_10%_30min,1
G6,30 min,468.148,462,498.992,485,0,0,0,DMSO_10%_30min,1
G6,30 min,446.182,437,499.394,469,0,0,0,DMSO_10%_30min,1
G6,30 min,396.772,386,319.041,307,0,0,0,DMSO_10%_30min,1
G6,30 min,825.941,766,854.24,813,1,1,1,DMSO_10%_30min,1
G6,30 min,418.368,410,622.375,423,0,1,0,DMSO_10%_30min,1
G6,30 min,449.055,439,497.835,480,0,0,0,DMSO_10%_30min,1
G6,30 min,378.314,376,344.956,339,0,0,0,DMSO_10%_30min,1
G6,30 min,470.381,457,410.745,388,0,0,0,DMSO_10%_30min,1
G6,30 min,486.29,475,501.48,458,0,1,0,DMSO_10%_30min,1
G6,30 min,482.548,471,475.05,453,0,0,0,DMSO_10%_30min,1
G6,30 min,1277.34,1271,833.517,743,1,1,1,DMSO_10%_30min,1
G6,30 min,454.873,441,382.803,366,0,0,0,DMSO_10%_30min,1
G6,30 min,513.484,501,482.722,453,1,0,0,DMSO_10%_30min,1
G7,30 min,484.353,469,477.185,443,0,0,0,DMSO_10%_30min,1
G7,30 min,504.094,493,516.273,502,1,1,1,DMSO_10%_30min,1
G7,30 min,461.962,443,435.237,395,0,0,0,DMSO_10%_30min,1
G7,30 min,388.448,384,334.511,329,0,0,0,DMSO_10%_30min,1
G7,30 min,514.541,495,461.837,424,1,0,0,DMSO_10%_30min,1
G7,30 min,466.616,450,481.415,436,0,0,0,DMSO_10%_30min,1
G6,30 min,439.553,426,508.448,482,0,1,0,DMSO_10%_30min,1
